taxsimid,year,state,mstat,page,sage,depx,pwages,psemp,swages,ssemp,dividends,intrec,stcg,ltcg,otherprop,nonprop,pensions,gssi,pui,sui,transfers,rentpaid,proptax,otheritem,childcare,mortgage,scorp,idtl,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11
88085,2025,1,2,56,57,0,63111.01171874996,834.6610107421872,7935654.0,19428864.0,12147285.610839844,528341.0546875,27247.609375,35528704.42480469,0,0,132138.2446899414,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,15977015.889160156,2,,,,,,,,,,,
88086,2025,1,2,34,41,2,6098.09765625,0.0,250614.96874999994,18292.451171874935,7370.905273437492,1140.1662597656248,0.0,6210.950195312461,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,90398.56249999967,2,11.0,8.0,,,,,,,,,
88087,2025,1,2,44,44,1,864547.1875,5858.97705078125,6552770.0,1365212.875,3091959.63671875,632533.9418945312,3034806.4430618286,22821952.3515625,0,0,37842.05859375,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,35934293.76269531,2,10.0,,,,,,,,,,
88088,2025,1,1,68,0,0,395297.40625,2365194.25,0.0,0.0,46579388.0,2277580.25,438530.0625,20706104.0,0,0,621513.375,19809.617977528087,0.0,0.0,0,0.0,0.0,0,0.0,0.0,8149904.5,2,,,,,,,,,,,
88089,2025,1,2,74,73,0,11731.8251953125,0.0,145636.578125,0.0,12099.976745605469,2229.6385498046875,-5.214606285095215,19217.018310546875,0,0,0.0,2717.2846441947563,0.0,23120.0,0,0.0,0.0,0,0.0,0.0,3061.836669921875,2,,,,,,,,,,,
88090,2025,1,1,53,0,0,38461.37109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88091,2025,1,1,43,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,11.0,,,,,,,,,,
88092,2025,1,1,69,0,0,0.0,0.0,0.0,0.0,5164.888671874998,1768.3076171874936,0.0,10888.67089843749,0,0,28858.88867187498,18277.314606741573,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88093,2025,1,2,23,20,1,41469.38671875,280.3244934082031,1653.920654296875,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,12242.317822651446,0.0,0,0.0,0.0,0.0,2,0.0,,,,,,,,,,
88094,2025,1,2,61,39,0,172128.234375,9821.5625,6839.48046875,0.0,64196.68359375,16918.359375,-3705.12744140625,381243.2607421875,0,0,20215.796875,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,357760.25,2,,,,,,,,,,,
88095,2025,1,1,43,0,0,34306.58984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,8569.622475856013,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88096,2025,1,1,32,0,2,82976.84375,28288.59375,0.0,0.0,27.255348205566406,131.3599853515625,0.0,0.0,0,0,5748.50439453125,0.0,0.0,0.0,0,13466.549604916592,0.0,0,0.0,0.0,0.0,2,8.0,6.0,,,,,,,,,
